date,date_de,main_1,main_2,main_3,main_4,main_5,euro_1,euro_2
2024-11-05,05.11.2024,29,43,36,22,38,6,1
2024-11-01,01.11.2024,21,13,41,28,27,1,3
2024-10-29,29.10.2024,49,26,30,17,3,1,10
2024-10-25,25.10.2024,42,2,36,50,19,9,4
2024-10-22,22.10.2024,47,36,4,38,32,9,3
2024-10-18,18.10.2024,2,40,4,30,23,4,10
2024-10-15,15.10.2024,45,38,44,20,9,12,4
2024-10-11,11.10.2024,44,11,8,23,45,10,12
2024-10-08,08.10.2024,13,29,42,44,48,8,2
2024-10-04,04.10.2024,16,27,4,34,44,7,4
2024-10-01,01.10.2024,17,42,45,50,37,6,7
2024-09-27,27.09.2024,41,29,15,6,25,1,3
2024-09-24,24.09.2024,43,3,34,41,13,5,1
2024-09-20,20.09.2024,17,19,39,9,26,4,10
2024-09-17,17.09.2024,44,13,1,3,24,11,12
2024-09-13,13.09.2024,44,40,3,2,17,8,4
2024-09-10,10.09.2024,31,10,7,46,41,1,5
2024-09-06,06.09.2024,27,7,42,11,45,10,3
2024-09-03,03.09.2024,17,5,36,37,23,9,5
2024-08-30,30.08.2024,8,48,11,25,31,12,11
2024-08-27,27.08.2024,15,24,39,33,29,9,2
2024-08-23,23.08.2024,26,13,21,48,22,2,7
2024-08-20,20.08.2024,31,28,29,33,25,6,12
2024-08-16,16.08.2024,50,16,46,11,4,1,3
2024-08-13,13.08.2024,50,33,6,34,9,7,1
2024-08-09,09.08.2024,15,35,29,25,18,5,1
2024-08-06,06.08.2024,9,22,35,32,4,9,10
2024-08-02,02.08.2024,20,26,30,31,14,2,1
2024-07-30,30.07.2024,49,2,16,31,30,5,2
2024-07-26,26.07.2024,46,7,26,22,11,11,5
2024-07-23,23.07.2024,24,21,9,38,13,6,12
2024-07-19,19.07.2024,26,13,32,18,22,10,11
2024-07-16,16.07.2024,43,8,36,27,22,5,8
2024-07-12,12.07.2024,30,2,32,34,14,3,4
2024-07-09,09.07.2024,25,44,5,26,14,8,10
2024-07-05,05.07.2024,25,32,4,11,16,11,1
2024-07-02,02.07.2024,30,40,10,32,29,12,6
2024-06-28,28.06.2024,1,8,45,43,30,12,10
2024-06-25,25.06.2024,45,8,31,14,25,3,12
2024-06-21,21.06.2024,2,22,24,40,30,6,5
2024-06-18,18.06.2024,24,4,10,45,23,8,7
2024-06-14,14.06.2024,10,46,42,21,27,2,6
2024-06-11,11.06.2024,16,31,29,12,4,1,9
2024-06-07,07.06.2024,37,45,29,8,15,10,5
2024-06-04,04.06.2024,24,1,3,43,49,4,2
2024-05-31,31.05.2024,45,23,34,39,4,7,6
2024-05-28,28.05.2024,27,13,46,35,26,3,4
2024-05-24,24.05.2024,4,45,21,3,2,12,6
2024-05-21,21.05.2024,31,33,38,23,7,10,11
2024-05-17,17.05.2024,29,48,2,36,1,11,1
2024-05-14,14.05.2024,19,27,22,24,23,1,6
2024-05-10,10.05.2024,45,28,39,31,49,11,8
2024-05-07,07.05.2024,11,35,32,33,3,3,11
2024-05-03,03.05.2024,9,45,40,36,17,5,7
